"location_name","location_longitude","location_latitude"
"Abu Hail Metro Station Seaside","55.350000","25.280000"
"ADCB Metro Station Seaside","55.300000","25.250000"
"Al Barsha - 1, Kempinsnki Hotel ","55.200000","25.120000"
"Al Barsha Mall ","55.210000","25.100000"
"Al Fahidi  Metro Station B 2","55.300000","25.260000"
"Al Garhoud, Emirates Co op socity","55.350000","25.240000"
"Al Jafiliya Metro Station  Landside A","55.290000","25.230000"
"Al Jafiliya Metro Station  Landside B","55.290000","25.230000"
"Al Jafiliya Metro Station Seaside","55.290000","25.230000"
"Al Karama, Lu Lu Center","55.300000","25.240000"
"Al Khail Gate ","55.250000","25.140000"
"Al Maktoum International Airport","55.160000","24.890000"
"Al Mamzar ","55.340000","25.310000"
"Al Mamzar Park ","55.350000","25.320000"
"Al Mamzer, Century Mall","55.350000","25.290000"
"Al Muraqqbat, Al Ghurair City A","55.320000","25.270000"
"Al Muraqqbat, Al Ghurair City B","55.320000","25.270000"
"Al Nahda -1, Al Mulla Plaza","55.360000","25.280000"
"Al Nahda Metro Station 1","55.370000","25.270000"
"Al Qiyadah Metro Station Seaside","55.350000","25.280000"
"Al Qouz Ind. 3, police Trafic Depart.Bur Dubai","55.210000","25.120000"
"Al Qouz Ind. First, Time Square Center","55.220000","25.140000"
"Al Qusais -1, Al Bustan Center","55.370000","25.280000"
"Al Raffa, New Gold Center Building","55.280000","25.250000"
"Al Rashidiya, Al Rashidiya Clinic","55.390000","25.220000"
"Al Reef Mall ","55.320000","25.270000"
"Al Rigga Metro Station A","55.320000","25.260000"
"Al Safa - 1, Al Safa Center - Park N Shop","55.230000","25.180000"
"Al Tawar -1, Union C0-op Society","55.370000","25.270000"
"Al Thaniya Street Barsha Heights","55.180000","25.100000"
"Al Warqa'a -1, Al Mass Supermarket","55.410000","25.190000"
"Arabian Center ","55.440000","25.240000"
"Aster Clinic, Discovery Gardens","55.130000","25.050000"
"Bay Avenue","55.270000","25.190000"
"Behind Sahara center, Al Nahda 1","55.370000","25.300000"
"Bin Sougat Shopping Centre","55.380000","25.230000"
"Bollywood parks Dubai","55.010000","24.920000"
"Burj Al Arab Jumeirah Road","55.190000","25.140000"
"Burj Khalifa/ Dubai Mall Metro Station  Landside","55.270000","25.200000"
"Burj Khalifa/ Dubai Mall Metro Station Seaside","55.270000","25.200000"
"Burjman Centre","55.300000","25.250000"
"BurJuman Metro Station D","55.310000","25.260000"
"Business Bay Metro Station Seaside","55.260000","25.190000"
"Business Buy, Downtown Burj Dubai - Building 3","55.280000","25.190000"
"City Centre Deira","55.330000","25.250000"
"City centre Me'aisem","55.200000","25.040000"
"City Centre Mirddif","55.410000","25.220000"
"Creek Metro Station","55.340000","25.220000"
"DAMAC Properties Metro Station Seaside","55.150000","25.080000"
"Danube Metro Station Landside","55.100000","25.000000"
"Deira citycenter","55.330000","25.250000"
"Discovery Garden Pavilion Shopping cente","55.150000","25.030000"
"Dragon Mart","55.420000","25.170000"
"Dragon Mart New","55.420000","25.170000"
"Dubai Airport Free Zone Metro Station 1","55.380000","25.270000"
"Dubai Al Ain Road, Dubai Outlet Mall","55.400000","25.070000"
"Dubai Internet City  Metro Station Landside","55.170000","25.100000"
"Dubai Mall","55.280000","25.200000"
"Dubai Marina Mall","55.140000","25.080000"
"Dubai Marina Yacht  Club","55.140000","25.070000"
"Dubai Offshore Sailing Club","55.220000","25.170000"
"Dubai Out Let Village","55.010000","24.910000"
"Emirates Hills - 3, Town Center Spinneys Mall","55.170000","25.050000"
"Emirates Hills Second (Emaar Buildings) Emaar Business Park buildings","55.170000","25.100000"
"Emirates HQ","55.370000","25.240000"
"Emirates Towers Metro Station Landside","55.280000","25.220000"
"Energy  Metro Station Landside","55.100000","25.030000"
"Energy  Metro Station Seaside","55.100000","25.030000"
"Etisalat Metro Station ","55.400000","25.260000"
"Festival City Mall","55.350000","25.220000"
"FGB Metro Station Landside","55.210000","25.130000"
"FGB Metro Station Sea Side ","55.210000","25.130000"
"Financial Centre Metro Station Landside","55.280000","25.210000"
"Financial Centre Metro Station Seaside","55.270000","25.210000"
"Four Seasons Resort Dubai AT Jumeirah Beav","55.240000","25.200000"
"Garhoud Near Millennium Airport Hotel","55.340000","25.250000"
"Ghoroob, Mirdif","55.420000","25.210000"
"Global Village","55.310000","25.070000"
"Gloria Hotel ","55.170000","25.100000"
"Grand Millennium Hotel Dubai","55.180000","25.100000"
"Habtoor Ballroom Hotel","55.250000","25.180000"
"Hor Al Anz East, Abu Hail Center","55.350000","25.280000"
"Ibn Battuta Metro Station Landside","55.120000","25.050000"
"Ibn Batutta Mall","55.120000","25.040000"
"IMG world of adventure","55.320000","25.080000"
"Jumeirah - 1, The One Center","55.270000","25.230000"
"Jumeirah - 3, Union Co - op Society","55.240000","25.190000"
"Jumeirah Lakes Towers Metro Station Seaside","55.140000","25.070000"
"Jumeirah Road,Wild Wadi","55.190000","25.140000"
"Khaleej Road, Waterfront Market","55.320000","25.290000"
"King Salman Bin Abdulaziz Al Zoud St.","55.150000","25.090000"
"Lamcy Plaza","55.310000","25.230000"
"Madina Mall ","55.400000","25.280000"
"Mall of Emirates","55.200000","25.120000"
"Mall of the Emirates Metro Station Landside","55.200000","25.120000"
"Mankhool road near standerd chaterd bank","55.290000","25.250000"
"Mercato Shopping Centre","55.250000","25.220000"
"Mirdif, Uptown Shopping Centre","55.420000","25.220000"
"Mirdif, West Zone","55.420000","25.220000"
"Motiongate Dubai- Dubai Parks and Resorts ","55.010000","24.920000"
"Naif, Al Sabkha Bus Station A","55.300000","25.270000"
"Naif, Al Sabkha Bus Station B","55.300000","25.270000"
"Nakheel Metro Station  Landside","55.160000","25.090000"
"Nakheel Metro Station  Seaside","55.160000","25.090000"
"Near Dubai Carmel school, Al Amman Street","55.380000","25.300000"
"Noor Bank Metro Station Landside","55.230000","25.160000"
"Noor Bank Metro Station Seaside","55.230000","25.160000"
"Oasis Center","55.240000","25.170000"
"Opp. Al habtor Grand Hotel","55.140000","25.090000"
"Opp. Amwaj Rotana ","55.130000","25.070000"
"Opp. Blue resdence ","55.140000","25.080000"
"Opp. Grand Resdince A","55.140000","25.080000"
"Opp. Grand Resdince B","55.140000","25.080000"
"Opp. Le Royal Meridian ","55.140000","25.080000"
